droughtDate,droughtLvl,areaPct,fireName,county,acres,fireDate,countyList,countyCount
20/04/2021,D3,49.86,Range,San Luis Obispo,"5,000",27/05/2020,,
20/04/2021,D4,5.36,Scorpion,Santa Barbara,"1,395",31/05/2020,,
13/04/2021,D0,99.22,Quail,Solano,"1,837",06/06/2020,,
13/04/2021,D1,94.14,Wood,San Diego,"11,000",08/06/2020,,
13/04/2021,D2,76.97,India,San Diego,"1,100",08/06/2020,,
13/04/2021,D3,38.68,Soda,San Luis Obispo,"1,672",10/06/2020,,
13/04/2021,D4,5.36,Grant,Sacramento,"5,042",12/06/2020,,
06/04/2021,D0,99.23,Walker,Calaveras,"1,455",16/06/2020,,
06/04/2021,D1,92.65,Grade,Tulare,"1,050",22/06/2020,,
06/04/2021,D2,69.68,Pass,Merced,"2,192",28/06/2020,,
06/04/2021,D3,35.42,Bena,Kern,"2,900",01/07/2020,,
06/04/2021,D4,5.36,Crews,Santa Clara,"5,513",05/07/2020,,
30/03/2021,D0,99.23,Soledad,Los Angeles,"1,525",05/07/2020,,
30/03/2021,D1,90.66,Mineral,Fresno,"29,667",13/07/2020,,
30/03/2021,D2,64.02,Coyote,San Benito,"1,508",15/07/2020,,
30/03/2021,D3,31.76,Hog,Lassen,"9,564",18/07/2020,,
30/03/2021,D4,5.36,Gold,Lassen,"22,634",20/07/2020,,
23/03/2021,D0,99.3,July Complex 2020,Modoc,"83,261",22/07/2020,,
23/03/2021,D1,90.66,Blue Jay,Mariposa,"6,922",24/07/2020,,
23/03/2021,D2,64.02,Red Salmon Complex,Humboldt,"144,698",26/07/2020,,
23/03/2021,D3,31.76,Branch,San Luis Obispo,"3,022",28/07/2020,,
23/03/2021,D4,5.36,Apple,Riverside,"33,424",31/07/2020,,
16/03/2021,D0,99.22,Pond,San Luis Obispo,"1,962",01/08/2020,,
16/03/2021,D1,90.62,North,Lassen,"6,882",02/08/2020,,
16/03/2021,D2,58.59,Stagecoach,Kern,"7,760",03/08/2020,,
16/03/2021,D3,29.54,Wolf,Tuolumne,"2,057",11/08/2020,,
16/03/2021,D4,3.75,Lake,Los Angeles,"31,089",12/08/2020,,
09/03/2021,D0,99.25,Ranch 2,Los Angeles,"4,237",13/08/2020,,
09/03/2021,D1,90.89,Hills,Fresno,"2,121",15/08/2020,,
09/03/2021,D2,58.59,Loyalton,Lassen,"47,029",15/08/2020,,
09/03/2021,D3,29.54,Beach,Mono,"3,780",16/08/2020,,
